file_name,label,reciter,surah,duration_seconds,sample_rate_hz,generation_method,source
102_ Abdullah-Al-Qarafi_Real.wav,authentic, Abdullah-Al-Qarafi,102,43.233,22050,,Authentic recording
102_AbdulBasit-AbdulSamad_Real.wav,authentic,AbdulBasit-AbdulSamad,102,41.026,44100,,Authentic recording
102_Abdullah-Al-Johany_Real.wav,authentic,Abdullah-Al-Johany,102,37.992,48000,,Authentic recording
102_AbdulRahman-Al-Sudais_Real.wav,authentic,AbdulRahman-Al-Sudais,102,34.717,44100,,Authentic recording
102_Abu-Bakr-Al-Shatri_Real.wav,authentic,Abu-Bakr-Al-Shatri,102,32.078,44100,,Authentic recording
102_Ahmad-Aliyu-Al-Huzaify_Real.wav,authentic,Ahmad-Aliyu-Al-Huzaify,102,42.606,44100,,Authentic recording
102_Ali-Al-Hudhaifi_Real.wav,authentic,Ali-Al-Hudhaifi,102,39.079,44100,,Authentic recording
102_Ali-Jabir_Real.wav,authentic,Ali-Jabir,102,36.911,22050,,Authentic recording
102_Maher-Al-Muaiqly_Real.wav,authentic,Maher-Al-Muaiqly,102,34.09,22050,,Authentic recording
102_Mishary-Al-Afasy_Real.wav,authentic,Mishary-Al-Afasy,102,62.589,44100,,Authentic recording
105_ Abdullah-Al-Qarafi_Real.wav,authentic, Abdullah-Al-Qarafi,105,30.302,22050,,Authentic recording
105_AbdulBasit-AbdulSamad_Real.wav,authentic,AbdulBasit-AbdulSamad,105,29.454,44100,,Authentic recording
105_Abdullah-Al-Johany_Real.wav,authentic,Abdullah-Al-Johany,105,27.996,48000,,Authentic recording
105_AbdulRahman-Al-Sudais_Real.wav,authentic,AbdulRahman-Al-Sudais,105,29.884,44100,,Authentic recording
105_Abu-Bakr-Al-Shatri_Real.wav,authentic,Abu-Bakr-Al-Shatri,105,24.999,44100,,Authentic recording
105_Ahmad-Aliyu-Al-Huzaify_Real.wav,authentic,Ahmad-Aliyu-Al-Huzaify,105,32.392,44100,,Authentic recording
105_Ali-Al-Hudhaifi_Real.wav,authentic,Ali-Al-Hudhaifi,105,32.366,44100,,Authentic recording
105_Ali-Jabir_Real.wav,authentic,Ali-Jabir,105,31.582,22050,,Authentic recording
105_Maher-Al-Muaiqly_Real.wav,authentic,Maher-Al-Muaiqly,105,30.145,22050,,Authentic recording
105_Mishary-Al-Afasy_Real.wav,authentic,Mishary-Al-Afasy,105,48.692,44100,,Authentic recording
106_ Abdullah-Al-Qarafi_Real.wav,authentic, Abdullah-Al-Qarafi,106,25.469,22050,,Authentic recording
106_AbdulBasit-AbdulSamad_Real.wav,authentic,AbdulBasit-AbdulSamad,106,25.849,44100,,Authentic recording
106_Abdullah-Al-Johany_Real.wav,authentic,Abdullah-Al-Johany,106,22.992,48000,,Authentic recording
106_AbdulRahman-Al-Sudais_Real.wav,authentic,AbdulRahman-Al-Sudais,106,27.193,44100,,Authentic recording
106_Abu-Bakr-Al-Shatri_Real.wav,authentic,Abu-Bakr-Al-Shatri,106,19.749,44100,,Authentic recording
106_Ahmad-Aliyu-Al-Huzaify_Real.wav,authentic,Ahmad-Aliyu-Al-Huzaify,106,31.817,44100,,Authentic recording
106_Ali-Al-Hudhaifi_Real.wav,authentic,Ali-Al-Hudhaifi,106,28.16,44100,,Authentic recording
106_Ali-Jabir_Real.wav,authentic,Ali-Jabir,106,27.82,22050,,Authentic recording
106_Maher-Al-Muaiqly_Real.wav,authentic,Maher-Al-Muaiqly,106,25.104,22050,,Authentic recording
106_Mishary-Al-Afasy_Real.wav,authentic,Mishary-Al-Afasy,106,42.527,44100,,Authentic recording
